English Adjectives	Nepali Adjectives
colors	rnhru - रङहरू
black	kaalo - कालो
blue	nilo - निलो
brown	khairo - खैरो
gray	fusro - फूस्रो
green	hariyo - हरियो
orange	suntle - सुन्तले
purple	baiguni - बैगुनी
red	raato - रातो
white	seto - सेतो
yellow	pahelo - पहेलो
sizes	aakarhru - आकारहरू
big	thulo - ठूलो
deep	gahiro - गहिरो
long	laamo - लामो
narrow	sanghuro - साँघुरो
short	choto - छोटो
small	saano - सानो
tall	aglo - अग्लो
thick	baaklo - बाक्लो
thin	paatalo - पातलो
wide	farakilo - फराकिलो
shapes	aakarhru - आकारहरू
circular	golo - गोलो
straight	sojho - सोझो
square	vargaakaar - वर्गाकार
triangular	trikon - त्रिकोण
tastes	svaadhru - स्वादहरू
bitter	tito - तितो
fresh	taaja - ताजा
salty	nunilo - नुनिलो
sour	amilo - अमिलो
spicy	masaladaar - मसलादार
sweet	guliyo - गुलियो
qualities	gunhru - गुणहरू
bad	kharab - खराब
clean	safa - सफा
dark	andhyaaro - अँध्यारो
difficult	kathin - कठिन
dirty	fohor - फोहोर
dry	sukha - सुखा
easy	sajilo - सजिलो
empty	khaali - खाली
expensive	mahago - महगो
fast	chaando - चाँडो
foreign	videshi - विदेशी
full	pura - पुरा
good	asal - असल
hard	gaahro - गाह्रो
heavy	gahrau - गह्रौ
inexpensive	sasto - सस्तो
light	haluka - हलुका
local	sthaniy - स्थानिय
new	nyan - नयाँ
noisy	kolahlyukt - कोलाहलयुक्त
old	puraano - पुरानो
powerful	shaktisaali - शक्तिसाली
quiet	shant - शान्त
correct	thik - ठिक
slow	vistaaro - विस्तारो
soft	naram - नरम
very	dherai - धेरै
weak	kamajor - कमजोर
wet	bhijeko - भिजेको
wrong	galt - गलत
young	yuva - युवा
quantities	sakhya - सख्या
few	kam - कम
little	thorai - थोरै
many	caan - कैयन
much	dherai - धेरै
part	bhaag - भाग
some	kehi - केही
a few	kehi - केही
whole	sabae - सबै
